comentario,calificacion,codigo,Enlace,Sitio Web,Marca,Modelo estandar,Precio
Cumple con las expectativas,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
El teléfono es de muy buena calidad por su precio y lo que ofrece,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Es igual al de la página, 100% seguro la compra, excelente calidad del producto",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Es unos de los mejores terminales de esta marca, muy recomendable",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Producto original y entrega rápido,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Buen producto, un poquito grandes, parece de buena calidad",4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Exelente calidad,4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"El teléfono es muy bueno comparado con el precio, lo que me parece muy malo es la garantía que da está tienda que es solo de 1 mes, en otras tiendan te dan 6 meses o 1 año de garantía, me di cuenta después de varios días, pero si pueden escoger otra tienda con mejor garantía sería mejor opción",3,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"El equipo me salio dañado, lo encendí, inicie la configuración y los colores de la pantalla se veían dañados. Espero que la garantía responda y pueda tener un equipo nuevo u otro",1,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Hasta ahora ha salido de buena calidad actualizado,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Está bien en todos los sentidos,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Totalmente idéntico,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Todo excelente,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Está bien en todos los sentidos,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Totalmente idéntico,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Todo excelente,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Corresponde a lo especificado en el anuncio,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Excelente, funcionalidad y velocidad",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Buena calidad, el tamaño corresponde y es igual a la foto",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Perfecto el dispositivo, cumple con todas las características",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Todo perfecto tamaño calidad,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Simplemente perfecto,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Es justo lo que comore, llegó en el tiempo acordado de entrega, sellado y en perfecto estado.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Es un producto muy bueno, pero no perfecto, a la hora de jugar con el la batería no dura tanto como me gustaría y dos veces me saco de partidas online lo cual frustra un poco, pero la pantalla me a sorprendido de más pues puede correr videos a 4k no de la mejor manera pero si puede con respecto a todo lo de más a cumplido mis expectativas",4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
El pedido llegó rápidamente en buenas condiciones,4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"El producto llego rápido, se ve de buena calidad aunque no se ha estrenado pero a la fecha después de dos días no han entregado la factura y no contestan por ningún medio (whatsapp, correo ni llamadas), esperemos a ver que pasa",2,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
El mejor del mercado igual al de la foto,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Excelente presentación, idéntico a las fotos",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Expectativas cumplidas,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Es muy bueno para juegos, me va super bien",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
El producto es igual al de la foto,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Es muy bueno para juegos, me va super bien",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
El producto es igual al de la foto,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Excelente, el producto entregado corresponde al mostrado en la página y es de excelente calidad!",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Es exactamente a lo publicado en la foto,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Llegó tal cuál como está en la descripción. Muy buen equipo, el único detalle es que siento que la batería la consume muy rápido, aunque eso se compensa con la rapidez que carga.",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Poco X6 Pro 12 512gb. Equipo excelentemente balanceado .Calidad precio justo.,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Excelente acabado el cuero vegano,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Excelente calidad, producto nuevo, tal como en la descripción",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
El producto es muy bueno tal como se describe,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Execelente especificaciones,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Buena calidad,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Celular con precio de gama media pero con características de gama alta,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Excelente todo perfecto, lo mejor",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Buena calidad , exactamente como se muestra en la página ,",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Excelente me llego el dispositivo que era todo en su caja buen tiempo de entrega lo recomiendo 10/10,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Excelente producto todo perfecto,4,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Bien llego en buen estado,4,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"El tamaño corresponde, es muy similar a la foto, la calidad se ve buena",4,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
El mejor celular que existe en cuanto calidad y precio,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Excelente calidad y cuenta con unas súper características como la cámara y capacidad,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Es exactamente como se pidio,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Es una máquina lo estoy probando con Android auto y es increíble no se pega ni nada además no se calienta la batería dura lo suficiente,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Los materiales no son muy premium pero la calidad del sistema operativo y la velocidad y por el precio está súper bien,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Buena calidad era lo esperado,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Es una máquina lo estoy probando con Android auto y es increíble no se pega ni nada además no se calienta la batería dura lo suficiente,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Los materiales no son muy premium pero la calidad del sistema operativo y la velocidad y por el precio está súper bien,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Buena calidad era lo esperado,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Excelente calidad y precio,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Buenas calidad,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
El producto es exactamente igual a las fotos y son las mismas caracteristicas. La entrega fue muy rapida!,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Es perfecto. Tu tamaño. La calidad, la potencia su cámara y su precio El mejor teléfono gama media del 2024",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
"Fue muy buena la experiencia, llego muy rápido y está muy bonito el producto",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Es exactamente igual a la foto y las mismas especificaciones que estaban descritas.,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
Igual a lo esperado y la calidad es excelente,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900
