comentario,calificacion,marca,modelo,precio
"El celular es de muy buena calidad, rápido, sencillo de manejar y muy cómodo su uso",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Sí perfecto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Un equipo con características premium a precio de gama media. Su peso es ideal, su cámara cumple, su pantalla tiene excelente resolución y el sensor de huella en pantalla es preciso.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"idéntico a la descripción, muy buena batería, el rendimiento es excelente, alcanza a correr a 60FPS los juegos",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Buen celular, pero esperaba más, llegó a tiempo y bien empacado.",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Bueno,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Celular de gama media alta, exelente teléfono",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Una vez recibido inicie la configuración del celular, pasados unos minutos del proceso la pantalla cambio de colores y no volvió a su estado normal. Hoy (03/04/2024) inicio el proceso para pedir garantía o que me devuelvan mi dinero",1,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Me gustó,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Es idéntico al d3 la foto y funciona super bien,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Excelente teléfono con su funda cargador un teléfono muy bueno fluido y económico para tener ese procesador y ram lo único que falta es comprar el adaptador al cargador pero no es gran cosa recomendado comprar por línea,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"El producto es excelente, llega con su respectivo estuche y cargador el cual es rapidísimo, el celular a la mano es como un gama alta y su procesador es de lo mejor que hay.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Cumplio con mis expectativas. Igual que la foto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Es excelente, es igual al de la foto y porsupuesto que es de gran calidad, llegó antes de lo esperado.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"El producto es excelente, llega con su respectivo estuche y cargador el cual es rapidísimo, el celular a la mano es como un gama alta y su procesador es de lo mejor que hay.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Cumplio con mis expectativas. Igual que la foto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Es excelente, es igual al de la foto y porsupuesto que es de gran calidad, llegó antes de lo esperado.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Muy bien,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Excelente calidad. Procesador potente que permite que el celular vuele!,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Buena calidad, buen tiempo de envío y todo bien sellado",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Muy buena calidad y rápido,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Cumple con las expectativas,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
El teléfono es de muy buena calidad por su precio y lo que ofrece,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Es igual al de la página, 100% seguro la compra, excelente calidad del producto",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Es unos de los mejores terminales de esta marca, muy recomendable",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Producto original y entrega rápido,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Buen producto, un poquito grandes, parece de buena calidad",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Exelente calidad,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"El teléfono es muy bueno comparado con el precio, lo que me parece muy malo es la garantía que da está tienda que es solo de 1 mes, en otras tiendan te dan 6 meses o 1 año de garantía, me di cuenta después de varios días, pero si pueden escoger otra tienda con mejor garantía sería mejor opción",3,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"El equipo me salio dañado, lo encendí, inicie la configuración y los colores de la pantalla se veían dañados. Espero que la garantía responda y pueda tener un equipo nuevo u otro",1,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Hasta ahora ha salido de buena calidad actualizado,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Está bien en todos los sentidos,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Totalmente idéntico,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Todo excelente,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Está bien en todos los sentidos,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Totalmente idéntico,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Todo excelente,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Corresponde a lo especificado en el anuncio,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Excelente, funcionalidad y velocidad",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Buena calidad, el tamaño corresponde y es igual a la foto",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Perfecto el dispositivo, cumple con todas las características",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Todo perfecto tamaño calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
Simplemente perfecto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Es justo lo que comore, llegó en el tiempo acordado de entrega, sellado y en perfecto estado.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"Es un producto muy bueno, pero no perfecto, a la hora de jugar con el la batería no dura tanto como me gustaría y dos veces me saco de partidas online lo cual frustra un poco, pero la pantalla me a sorprendido de más pues puede correr videos a 4k no de la mejor manera pero si puede con respecto a todo lo de más a cumplido mis expectativas",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
El pedido llegó rápidamente en buenas condiciones,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
"El producto llego rápido, se ve de buena calidad aunque no se ha estrenado pero a la fecha después de dos días no han entregado la factura y no contestan por ningún medio (whatsapp, correo ni llamadas), esperemos a ver que pasa",2,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1899900.0
El mejor del mercado igual al de la foto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Excelente presentación, idéntico a las fotos",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Expectativas cumplidas,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Es muy bueno para juegos, me va super bien",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
El producto es igual al de la foto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Es muy bueno para juegos, me va super bien",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
El producto es igual al de la foto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Excelente, el producto entregado corresponde al mostrado en la página y es de excelente calidad!",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Es exactamente a lo publicado en la foto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Llegó tal cuál como está en la descripción. Muy buen equipo, el único detalle es que siento que la batería la consume muy rápido, aunque eso se compensa con la rapidez que carga.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Poco X6 Pro 12 512gb. Equipo excelentemente balanceado .Calidad precio justo.,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente acabado el cuero vegano,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Excelente calidad, producto nuevo, tal como en la descripción",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
El producto es muy bueno tal como se describe,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Execelente especificaciones,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Buena calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Celular con precio de gama media pero con características de gama alta,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Excelente todo perfecto, lo mejor",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Buena calidad , exactamente como se muestra en la página ,",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente me llego el dispositivo que era todo en su caja buen tiempo de entrega lo recomiendo 10/10,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente producto todo perfecto,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Bien llego en buen estado,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"El tamaño corresponde, es muy similar a la foto, la calidad se ve buena",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
El mejor celular que existe en cuanto calidad y precio,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente calidad y cuenta con unas súper características como la cámara y capacidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Es exactamente como se pidio,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Es una máquina lo estoy probando con Android auto y es increíble no se pega ni nada además no se calienta la batería dura lo suficiente,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Los materiales no son muy premium pero la calidad del sistema operativo y la velocidad y por el precio está súper bien,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Buena calidad era lo esperado,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Es una máquina lo estoy probando con Android auto y es increíble no se pega ni nada además no se calienta la batería dura lo suficiente,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Los materiales no son muy premium pero la calidad del sistema operativo y la velocidad y por el precio está súper bien,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Buena calidad era lo esperado,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente calidad y precio,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Buenas calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
El producto es exactamente igual a las fotos y son las mismas caracteristicas. La entrega fue muy rapida!,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Es perfecto. Tu tamaño. La calidad, la potencia su cámara y su precio El mejor teléfono gama media del 2024",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Fue muy buena la experiencia, llego muy rápido y está muy bonito el producto",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Es exactamente igual a la foto y las mismas especificaciones que estaban descritas.,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Igual a lo esperado y la calidad es excelente,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Si el producto es exactamente igual al de la página,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Es igual al de la foto, y de muy buena calidad",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Es de muy buena calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente producto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Excelente producto, cumple con todas las especificaciones",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Excelente producto, rompió con todas mis espectativas ...le doy 10/10",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente celular. Su relación precio- calidad es insuperable.El envío súper rápido. Felicitaciones.,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Corresponde al producto,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Exelente producto era lo que esperaba recibir.,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"El teléfono ha estado muy bien, solo he tenido inconvenientes con algunas aplicaciones, pero todo va de maravilla",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"La batería dura menos de 13 horas y es una terrible desventaja. Se supone que la batería es de 5.000 miliamperios, pero no dura las 24 horas que dice en la publicidad del teléfono.",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Buena calidad, falta más resolución de las cámaras.",3,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
El Tamaño corresponde muy buena calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"El teléfono se recibió a conformidad, como se describe en la descripción del producto. La entrega fue de un día para otro, todo bien.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Buena,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Exelente, tal cual lo esperaba, muy bonito",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelentes características y calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Buena calidad, viene con cargador y cable los cuál se agradece, excelente cámara, un dispositivo rápido, sin embargo me gustaría que le durará más la batería",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Exelente, tal cual lo esperaba, muy bonito",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelentes características y calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Buena calidad, viene con cargador y cable los cuál se agradece, excelente cámara, un dispositivo rápido, sin embargo me gustaría que le durará más la batería",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Es bastante rápido y tiene buena camara,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Si igual como se ve y se ve de buena calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Mi primer gama media -alta llegó muy bien en su caja totalmente sellada, el color amarillo es hermoso recomendado ,posdata..no me llego la factura física estoy esperando aun la eletronica",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Todo perfecto, llegó intacto y buen funcionamiento, estoy muy feliz con el celular adquirido",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Todo cumple con la descripción,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Super Era lo que esperaba gracias,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Es tal como dice en la descripción, super genial, y su fluides en muy buena es perfecto para mis transmisiónes en vivo en tiktok. Gracias que buen celular.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Igual a la foto, tamaño adecuado, buen procesador, fotografía adecuada.",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Igual a la foto, excelente teléfono llegó perfecto y funciona de igual manera...",5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente calidad,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Hermoso,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Excelente producto,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Tamaño correcto Muy buena calidad El color ideal,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Llego el dispositivo correcto y en buen tiempo de entrega,5,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"El celular es igual que el de la foto, algo negativo es que la batería ni dura mucho",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"Es lo que estaba esperando, buena calidad precio accesible estoy conforme con la compra",4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Tamaño según las especificaciones de buena calidad lo único malo es que hay algunas aplicaciones mal optimizadas y drenan demasiado la batería,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
Las descripción es precisa en cuando a dimensiones,4,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"El producto corresponde pero se robaron el convertidor del cargador, en la caja trae el espacio donde deberia estar pero no lo traite.. El. Producto es bueno pero el vendedor pauperrimo.",3,Xiaomi,Xiaomi Poco X6 Pro 5G 512Gb 12Ram 64Mp,1449900.0
"El tamaño es perfecto, la calidad de construcción me ha parecido de primera. Las cámaras son magníficas y la carga ultra rápida es de lo mejor, entre muchas otras cosas. Excelente costo-beneficio.",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"Es Perfecto! Tal cual la foto, las características, la cámara, el tamaño es el adecuado, y sobretodo su capacidad de almacenamiento",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
si es el producto que pedí,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Es excelente...más de lo que me imaginaba,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Excelente,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"Llegó rápido, y es igual a las especificaciones q aparecen en la descripción. Además el equipo trabajo muy bien",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Exvelente,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Tiene el tamaño ideal y de buena calidad,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Todo lo que ofrecen en la pagina corresponde con el articulo,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"Muy buen equipo, excelente tecnología !!",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Es un equipo genial,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"El tiempo de entrega fue antes de lo esperado, y el celular tal cual las características indicadas",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Me encantó,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"Excelente producto, exacto lo que pedí",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"El producto es tal cual lo ofrecido, corresponde con la foto promocionada",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Cumplió con las expectativas,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"Excelente producto, exacto lo que pedí",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"El producto es tal cual lo ofrecido, corresponde con la foto promocionada",5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Cumplió con las expectativas,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"El tamaño y su calidad son buenos ,lo que no me gusta es la cantidad de propaganda que aparece cuando va a hacer una llamada",4,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Es igual a la foto y el material parece de buena calidad,4,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Corresponde con la descripción,4,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Producto en perfecto estado...con un rendimiento sin igual y un sistema operativo muy intuitivo..lamentablemente no venía el convertidor de cargador ..así que tuve que hacer parte de este fallo ..por lo demás satisfecho con los tiempos de respuesta entrega en perfecto estado y cuidado con seguridad compraré recurrentemente con Falabella .com,4,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
"Se le acaba la batería muy rápido y viene con un cargador que no sirve en Colombia, toca comprarle adaptador. Tampoco trae entrada para los audífonos convencionales",3,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Es imprescindible la presentación y calidad de los materiales.. Sin duda alguna cumplió con todas las espectativas de un producto de alto valor y calidad.. Estoy satisfecho,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Llego rapido y cumplio con las espectativas,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Exelente calidad,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Todo está súper... Tamaño y características,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Buenas calidad,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Buena Calidad,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Según costo beneficio me parece un teléfono perfecto,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Son super puntuales y cumplen con la descripción del producto que muestran ❤️❤️❤️❤️,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
Todo ok,5,Xiaomi,Xiaomi Redmi Note 13 Pro Plus 5G 512Gb 12Ram 200Mp,2199900.0
