comentario,calificacion,codigo,Enlace,Sitio Web,Marca,Modelo estandar,Precio,comentario_limpio,comentario_limpio_sin_lematizar,Calificacion Predicha,Sentimiento,Comentario_Negativo,Comentario_Positivo,Temas
"Una vez recibido inicie la configuración del celular, pasados unos minutos del proceso la pantalla cambio de colores y no volvió a su estado normal. Hoy (03/04/2024) inicio el proceso para pedir garantía o que me devuelvan mi dinero",1,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,vez recibido inicie configuracion celular pasados minutos proceso pantalla cambio colores no volvio normal hoy inicio proceso pedir garantia devuelvan dinero,Una vez recibido inicie la configuracion del celular pasados unos minutos del proceso la pantalla cambio de colores y no volvio a su estado normal Hoy    inicio el proceso para pedir garantia o que me devuelvan mi dinero,1,Negativo,1,0,"['Precio', 'Pantalla']"
Me gustó,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,gusto,Me gusto,4,Positivo,0,1,[]
Es idéntico al d3 la foto y funciona super bien,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,identico d foto funciona super bien,Es identico al d la foto y funciona super bien,5,Positivo,0,1,[]
Excelente teléfono con su funda cargador un teléfono muy bueno fluido y económico para tener ese procesador y ram lo único que falta es comprar el adaptador al cargador pero no es gran cosa recomendado comprar por línea,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,excelente telefono funda cargador telefono muy bueno fluido economico tener procesador ram unico falta comprar adaptador cargador no gran cosa recomendado comprar linea,Excelente telefono con su funda cargador un telefono muy bueno fluido y economico para tener ese procesador y ram lo unico que falta es comprar el adaptador al cargador pero no es gran cosa recomendado comprar por linea,4,Positivo,0,1,"['Cámara', 'Batería', 'Rendimiento']"
Muy bien,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,muy bien,Muy bien,5,Positivo,0,1,[]
Excelente calidad. Procesador potente que permite que el celular vuele!,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,excelente calidad procesador potente permite celular vuele,Excelente calidad Procesador potente que permite que el celular vuele,5,Positivo,0,1,"['Cámara', 'Rendimiento']"
"Buena calidad, buen tiempo de envío y todo bien sellado",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,buena calidad buen tiempo envio bien sellado,Buena calidad buen tiempo de envio y todo bien sellado,5,Positivo,0,1,[]
Muy buena calidad y rápido,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,muy buena calidad rapido,Muy buena calidad y rapido,5,Positivo,0,1,[]
Cumple con las expectativas,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,cumple expectativas,Cumple con las expectativas,4,Positivo,0,1,[]
El teléfono es de muy buena calidad por su precio y lo que ofrece,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,telefono muy buena calidad precio ofrece,El telefono es de muy buena calidad por su precio y lo que ofrece,5,Positivo,0,1,['Precio']
"Es igual al de la página, 100% seguro la compra, excelente calidad del producto",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,igual pagina seguro compra excelente calidad producto,Es igual al de la pagina  seguro la compra excelente calidad del producto,5,Positivo,0,1,['Cámara']
"Es unos de los mejores terminales de esta marca, muy recomendable",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,mejores terminales marca muy recomendable,Es unos de los mejores terminales de esta marca muy recomendable,5,Positivo,0,1,[]
Producto original y entrega rápido,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,producto original entrega rapido,Producto original y entrega rapido,5,Positivo,0,1,[]
"Buen producto, un poquito grandes, parece de buena calidad",4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,buen producto poquito grandes parece buena calidad,Buen producto un poquito grandes parece de buena calidad,4,Positivo,0,1,[]
Exelente calidad,4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,exelente calidad,Exelente calidad,5,Positivo,0,1,['Cámara']
"El teléfono es muy bueno comparado con el precio, lo que me parece muy malo es la garantía que da está tienda que es solo de 1 mes, en otras tiendan te dan 6 meses o 1 año de garantía, me di cuenta después de varios días, pero si pueden escoger otra tienda con mejor garantía sería mejor opción",3,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,telefono muy bueno comparado precio parece muy malo garantia da tienda solo me tiendan dan me año garantia di cuenta despues varios dia si pueden escoger tienda mejor garantia seria mejor opcion,El telefono es muy bueno comparado con el precio lo que me parece muy malo es la garantia que da esta tienda que es solo de  mes en otras tiendan te dan  meses o  año de garantia me di cuenta despues de varios dias pero si pueden escoger otra tienda con mejor garantia seria mejor opcion,3,Neutro,1,0,['Precio']
"El equipo me salio dañado, lo encendí, inicie la configuración y los colores de la pantalla se veían dañados. Espero que la garantía responda y pueda tener un equipo nuevo u otro",1,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,equipo salio dañado encendi inicie configuracion colores pantalla veian dañados espero garantia responda pueda tener equipo nuevo u,El equipo me salio dañado lo encendi inicie la configuracion y los colores de la pantalla se veian dañados Espero que la garantia responda y pueda tener un equipo nuevo u otro,1,Negativo,1,0,['Pantalla']
Hasta ahora ha salido de buena calidad actualizado,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,ahora salido buena calidad actualizado,Hasta ahora ha salido de buena calidad actualizado,5,Positivo,0,1,[]
Corresponde a lo especificado en el anuncio,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,corresponde especificado anuncio,Corresponde a lo especificado en el anuncio,4,Positivo,0,1,['Rendimiento']
"Excelente, funcionalidad y velocidad",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,excelente funcionalidad velocidad,Excelente funcionalidad y velocidad,5,Positivo,0,1,"['Cámara', 'Rendimiento']"
"Buena calidad, el tamaño corresponde y es igual a la foto",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,buena calidad tamaño corresponde igual foto,Buena calidad el tamaño corresponde y es igual a la foto,4,Positivo,0,1,"['Rendimiento', 'Pantalla']"
"Perfecto el dispositivo, cumple con todas las características",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,perfecto dispositivo cumple toda caracteristicas,Perfecto el dispositivo cumple con todas las caracteristicas,5,Positivo,0,1,[]
Todo perfecto tamaño calidad,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,perfecto tamaño calidad,Todo perfecto tamaño calidad,5,Positivo,0,1,['Pantalla']
Simplemente perfecto,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,simplemente perfecto,Simplemente perfecto,5,Positivo,0,1,[]
"Es justo lo que comore, llegó en el tiempo acordado de entrega, sellado y en perfecto estado.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,justo comore llego tiempo acordado entrega sellado perfecto,Es justo lo que comore llego en el tiempo acordado de entrega sellado y en perfecto estado,5,Positivo,0,1,[]
"Es un producto muy bueno, pero no perfecto, a la hora de jugar con el la batería no dura tanto como me gustaría y dos veces me saco de partidas online lo cual frustra un poco, pero la pantalla me a sorprendido de más pues puede correr videos a 4k no de la mejor manera pero si puede con respecto a todo lo de más a cumplido mis expectativas",4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,producto muy bueno no perfecto hora jugar bateria no dura gustaria do veces saco partidas online frustra poco pantalla sorprendido ma pues puede correr video k no mejor manera si puede respecto ma cumplido expectativas,Es un producto muy bueno pero no perfecto a la hora de jugar con el la bateria no dura tanto como me gustaria y dos veces me saco de partidas online lo cual frustra un poco pero la pantalla me a sorprendido de mas pues puede correr videos a k no de la mejor manera pero si puede con respecto a todo lo de mas a cumplido mis expectativas,3,Neutro,1,0,"['Cámara', 'Batería', 'Rendimiento', 'Pantalla']"
El pedido llegó rápidamente en buenas condiciones,4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,pedido llego rapidamente buenas condiciones,El pedido llego rapidamente en buenas condiciones,4,Positivo,0,1,[]
"El producto llego rápido, se ve de buena calidad aunque no se ha estrenado pero a la fecha después de dos días no han entregado la factura y no contestan por ningún medio (whatsapp, correo ni llamadas), esperemos a ver que pasa",2,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,producto llego rapido ve buena calidad aunque no estrenado fecha despues do dia no entregado factura no contestan ningun medio whatsapp correo llamadas esperemos ver pasa,El producto llego rapido se ve de buena calidad aunque no se ha estrenado pero a la fecha despues de dos dias no han entregado la factura y no contestan por ningun medio whatsapp correo ni llamadas esperemos a ver que pasa,1,Negativo,1,0,['Rendimiento']
El mejor del mercado igual al de la foto,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,mejor mercado igual foto,El mejor del mercado igual al de la foto,5,Positivo,0,1,[]
"Excelente presentación, idéntico a las fotos",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,excelente presentacion identico fotos,Excelente presentacion identico a las fotos,5,Positivo,0,1,['Cámara']
Expectativas cumplidas,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,expectativas cumplidas,Expectativas cumplidas,4,Positivo,0,1,[]
"Excelente, el producto entregado corresponde al mostrado en la página y es de excelente calidad!",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,excelente producto entregado corresponde mostrado pagina excelente calidad,Excelente el producto entregado corresponde al mostrado en la pagina y es de excelente calidad,5,Positivo,0,1,"['Cámara', 'Rendimiento']"
Es exactamente a lo publicado en la foto,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,exactamente publicado foto,Es exactamente a lo publicado en la foto,5,Positivo,0,1,[]
"Llegó tal cuál como está en la descripción. Muy buen equipo, el único detalle es que siento que la batería la consume muy rápido, aunque eso se compensa con la rapidez que carga.",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,llego tal descripcion muy buen equipo unico detalle siento bateria consume muy rapido aunque compensa rapidez carga,Llego tal cual como esta en la descripcion Muy buen equipo el unico detalle es que siento que la bateria la consume muy rapido aunque eso se compensa con la rapidez que carga,4,Positivo,0,1,"['Cámara', 'Batería']"
Poco X6 Pro 12 512gb. Equipo excelentemente balanceado .Calidad precio justo.,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,poco x pro gb equipo excelentemente balanceado calidad precio justo,Poco X Pro  gb Equipo excelentemente balanceado Calidad precio justo,5,Positivo,0,1,"['Cámara', 'Precio']"
Excelente acabado el cuero vegano,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,excelente acabado cuero vegano,Excelente acabado el cuero vegano,5,Positivo,0,1,['Cámara']
"Excelente calidad, producto nuevo, tal como en la descripción",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,excelente calidad producto nuevo tal descripcion,Excelente calidad producto nuevo tal como en la descripcion,5,Positivo,0,1,['Cámara']
El producto es muy bueno tal como se describe,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,producto muy bueno tal describe,El producto es muy bueno tal como se describe,5,Positivo,0,1,[]
Execelente especificaciones,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,execelente especificaciones,Execelente especificaciones,5,Positivo,0,1,['Cámara']
Buena calidad,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,buena calidad,Buena calidad,5,Positivo,0,1,[]
Celular con precio de gama media pero con características de gama alta,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,celular precio gama medium caracteristicas gama alta,Celular con precio de gama media pero con caracteristicas de gama alta,3,Neutro,1,0,['Precio']
"Excelente todo perfecto, lo mejor",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,excelente perfecto mejor,Excelente todo perfecto lo mejor,5,Positivo,0,1,['Cámara']
"Buena calidad , exactamente como se muestra en la página ,",5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,buena calidad exactamente muestra pagina,Buena calidad exactamente como se muestra en la pagina,5,Positivo,0,1,[]
Excelente me llego el dispositivo que era todo en su caja buen tiempo de entrega lo recomiendo 10/10,5,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,excelente llego dispositivo caja buen tiempo entrega recomiendo,Excelente me llego el dispositivo que era todo en su caja buen tiempo de entrega lo recomiendo  ,5,Positivo,0,1,['Cámara']
Excelente producto todo perfecto,4,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,excelente producto perfecto,Excelente producto todo perfecto,5,Positivo,0,1,['Cámara']
Bien llego en buen estado,4,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,bien llego buen,Bien llego en buen estado,4,Positivo,0,1,[]
"El tamaño corresponde, es muy similar a la foto, la calidad se ve buena",4,FX2,https://www.falabella.com.co/falabella-co/product/127913775/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Amarillo/127913776,falabella,Xiaomi,Xiaomi Poco X6 Pro,1449900,tamaño corresponde muy similar foto calidad ve buena,El tamaño corresponde es muy similar a la foto la calidad se ve buena,3,Neutro,1,0,"['Rendimiento', 'Pantalla']"
